,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
97,71,1541.9849689999999,3.0399999999999997e-29,4.304e-09.0593.0600,18.33720.970.000000,X,1,X,0,O,3O,3,q50422049,11010,4,0,3.0,7.0,
98,71,1542.0494210000002,6.05e-29,5.092e-09.0593.0600,16.38760.970.000000,X,1,X,0,O,3O,4,q50422049,11010,4,0,5.0,9.0,
99,71,1542.1841689999999,2.3e-30,1.935e-10.0593.0600,16.25290.970.000000,X,1,X,0,O,3Q,2,q50422049,11010,4,0,5.0,5.0,
100,71,1542.1841689999999,1.4599999999999999e-31,1.228e-11.0593.0600,16.25290.970.000000,X,1,X,0,O,3Q,2,d50422049,11010,4,0,5.0,5.0,
101,71,1542.2225039999998,5.96e-31,7.939e-10.0350.0360,1085.20330.720.000000,X,1,X,0,Q,27R,27,d50252049,112,9,4,0.0,57.0,55.0
102,71,1542.443813,1.3699999999999998e-31,8.439e-10.0347.0340,1420.76310.720.000000,X,1,X,0,Q,31R,30,d40252049,112,9,4,0.0,63.0,61.0
103,71,1542.631632,1.5999999999999998e-30,4.353e-09.0348.0350,1245.97180.720.000000,X,1,X,0,Q,29Q,30,d40252049,112,9,4,0.0,61.0,61.0
104,71,1542.631632,9.89e-31,2.691e-09.0348.0350,1245.97180.720.000000,X,1,X,0,Q,29Q,30,q40252049,112,9,4,0.0,61.0,61.0
105,71,1542.633427,9.22e-31,2.691e-09.0348.0350,1246.44860.720.000000,X,1,X,0,Q,29Q,28,q40252049,112,9,4,0.0,57.0,57.0
106,71,1542.633427,1.5e-30,4.378e-09.0348.0350,1246.44860.720.000000,X,1,X,0,Q,29Q,28,d40252049,112,9,4,0.0,57.0,57.0
107,71,1542.637487,2.76e-35,7.849e-14.0348.0350,1248.20130.720.000000,X,1,X,0,Q,29Q,29,d40252049,112,9,4,0.0,59.0,59.0
108,71,1542.637487,9.429999999999999e-31,2.682e-09.0348.0350,1248.20130.720.000000,X,1,X,0,Q,29Q,29,q40252049,112,9,4,0.0,59.0,59.0
109,71,1542.665736,6.13e-31,8.787e-10.0350.0360,1085.20330.720.000000,X,1,X,0,Q,27P,27,d50252049,112,9,4,0.0,53.0,55.0
110,71,1542.9557730000001,1.34e-31,8.239e-10.0347.0340,1420.25110.720.000000,X,1,X,0,Q,31P,32,d40252049,112,9,4,0.0,63.0,65.0
111,71,1543.9164050000002,1.7e-32,1.168e-11.0352.0370,933.53090.720.000000,X,1,X,0,Q,25R,25,q50262049,112,9,4,0.0,53.0,51.0
112,71,1543.9164050000002,1.15e-30,7.900e-10.0352.0370,933.53090.720.000000,X,1,X,0,Q,25R,25,d50262049,112,9,4,0.0,53.0,51.0
113,71,1544.069286,2.08e-29,2.923e-09.0593.0600,16.25290.970.000000,X,1,X,0,O,3P,2,q50422049,11010,4,0,3.0,5.0,
114,71,1544.069286,6.51e-30,9.149e-10.0593.0600,16.25290.970.000000,X,1,X,0,O,3P,2,d50422049,11010,4,0,3.0,5.0,
115,71,1544.32404,1.19e-30,8.847e-10.0352.0370,933.53090.720.000000,X,1,X,0,Q,25P,25,d50262049,112,9,4,0.0,49.0,51.0
116,71,1544.32404,1.8e-32,1.338e-11.0352.0370,933.53090.720.000000,X,1,X,0,Q,25P,25,q50262049,112,9,4,0.0,49.0,51.0
117,71,1544.3901119999998,3e-31,8.478e-10.0348.0350,1246.44860.720.000000,X,1,X,0,Q,29R,28,d40252049,112,9,4,0.0,59.0,57.0
118,71,1544.434104,3.2999999999999996e-30,4.361e-09.0350.0360,1082.99170.720.000000,X,1,X,0,Q,27Q,28,d50252049,112,9,4,0.0,57.0,57.0
119,71,1544.434104,2.0499999999999998e-30,2.709e-09.0350.0360,1082.99170.720.000000,X,1,X,0,Q,27Q,28,q50252049,112,9,4,0.0,57.0,57.0
120,71,1544.435858,1.8999999999999998e-30,2.706e-09.0350.0360,1083.43320.720.000000,X,1,X,0,Q,27Q,26,q50252049,112,9,4,0.0,53.0,53.0
121,71,1544.435858,3.09e-30,4.402e-09.0350.0360,1083.43320.720.000000,X,1,X,0,Q,27Q,26,d50252049,112,9,4,0.0,53.0,53.0
122,71,1544.43992,1.9499999999999998e-30,2.700e-09.0350.0360,1085.20330.720.000000,X,1,X,0,Q,27Q,27,q50252049,112,9,4,0.0,55.0,55.0
123,71,1544.43992,6.53e-35,9.041e-14.0350.0360,1085.20330.720.000000,X,1,X,0,Q,27Q,27,d50252049,112,9,4,0.0,55.0,55.0
124,71,1544.866923,2.93e-31,8.266e-10.0348.0350,1245.97180.720.000000,X,1,X,0,Q,29P,30,d40252049,112,9,4,0.0,59.0,61.0
125,71,1545.4839220000001,3.66e-32,1.378e-11.0354.0380,793.20870.720.000000,X,1,X,0,Q,23R,23,q50262049,112,9,4,0.0,49.0,47.0
126,71,1545.4839220000001,2.0999999999999998e-30,7.905e-10.0354.0380,793.20870.720.000000,X,1,X,0,Q,23R,23,d50262049,112,9,4,0.0,49.0,47.0
127,71,1545.855676,2.17e-30,8.898e-10.0354.0380,793.20870.720.000000,X,1,X,0,Q,23P,23,d50262049,112,9,4,0.0,45.0,47.0
