,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
116,51,2030.158686,4.521e-28,4.683e+01.0549.0600,4712.71560.71-.002800,3,2,P,15,467665,5,8,2,2,1,7,29.0,31.0
117,54,2030.41621,5.0899999999999994e-31,4.732e+01.0589.0660,4372.35720.75-.002610,3,2,P,9,467665,5,8,2,2,1,7,102.0,114.0
118,54,2030.730101,1.0099999999999999e-23,1.532e+01.0500.0540,864.53020.67-.003630,1,0,P,21,477623,5,8,2,2,1,1,246.0,258.0
119,53,2030.8580739999998,2.239e-30,5.305e+01.0709.0790,4180.60530.74-.001530,3,2,P,3,467665,5,8,2,2,1,7,5.0,7.0
120,52,2030.8621440000002,1.5089999999999998e-29,5.062e+01.0676.0750,4202.92200.74-.001888,3,2,P,4,467665,5,8,2,2,1,7,14.0,18.0
121,56,2031.271154,1.2949999999999998e-24,1.539e+01.0580.0640,196.76960.75-.003570,1,0,P,10,477663,5,8,2,2,1,1,228.0,252.0
122,54,2031.312418,3.766e-27,3.093e+01.0549.0600,2561.66900.71-.003260,2,1,P,15,477663,5,8,2,2,1,1,174.0,186.0
123,51,2032.352848,3.3510000000000003e-21,1.550e+01.0464.0480,1346.60080.67-.003500,1,0,P,26,487623,5,8,2,2,1,1,51.0,53.0
124,52,2032.870174,2.6700000000000002e-25,3.123e+01.0580.0640,2296.37670.75-.002665,2,1,P,10,477665,5,8,2,2,1,7,38.0,42.0
125,56,2033.070928,7.839e-29,3.516e+01.0709.0790,2089.73550.74-.002030,2,1,P,3,477663,5,8,2,2,1,1,60.0,84.0
126,53,2033.0834149999998,5.205e-26,3.137e+01.0589.0660,2255.40100.75-.002610,2,1,P,9,477665,5,8,2,2,1,7,17.0,19.0
127,55,2033.123012,4.7419999999999994e-24,1.740e+01.0709.0790,20.95620.74-.002030,1,0,P,3,477663,5,8,2,2,1,1,10.0,14.0
128,55,2033.1846920000003,6.134e-28,2.576e+01.0676.0750,2064.46620.74-.002530,2,1,R,3,477663,5,8,2,2,1,1,18.0,14.0
